OUTPUT,INPUT
Hmm. That face you make. Look I so old to young eyes?,Hmm. You have that face. Do I look olld to your eyes
"I do, yes, I do!  Sick have I become. Old and weak.  When nine hundred years old you reach, look as good you will not. Hmm?","Yes, I am sick. When you are 900 years old you do not look that good, eh?"
"Soon will I rest. Yes, forever sleep. Earned it, I have.",Soon I will slee and rest forever. I have earned it
Strong am I with the Force... but not that strong! Twilight is upon me and soon night must fall. That is the way of things ... the way of the Force.,I am strong with the force� But I am not that strong! Twilight is upon me and soon night must fall. That is the way of things ... the way of the Force.
No more training do you require. Already know you that which you need.,You don�t need anymore training� You already no which to need
"Ohhh. Not yet. One thing remains: Vader. You must confront Vader. Then, only then, a Jedi will you be. And confront him you will.","Ohhh. Not yet. One thing remains: Vader. You must confront Vader. Thenand only then, you will be a Jedi. And you will confron him"
Mmm... rest I need. Yes... rest.,Mmm� I need rest. Yes� rest
Your father he is.,He is your Father.
"Told you, did he?",He told you?
"Unexpected this is, and unfortunate..",This is unexpected and unfortunate
No. Unfortunate that you rushed to face him... that incomplete was your training. Not ready for the burden were you.,No� It was unfortunate that you rushed to face him. Your training was incomplete. You were not ready for the burden.
"Remember, a Jedi's strength flows from the Force.  But beware.  Anger, fear, aggression. The dark side are they.  Once you start down the dark path, forever will it dominate your destiny.","Remember, a Jedi's strength flows from the Force.  But beware. The dark side are anger, fear, aggression.  Once you start down the dark path it will foreverdominate your destiny."
"Luke...Luke...Do not...Do not underestimate the powers of the Emperor, or suffer your father's fate, you will. Luke, when gone am I , the last of the Jedi will you be. Luke, the Force runs strong in your family. Pass on what you have learned, Luke...  There is... another...Sky...Sky...walker.","Luke...Luke...Do not...Do not underestimate the powers of the Emperor, or you will suffer your father's fate. Luke, when I am gone, you will be the last of the Jedi . Luke, the Force runs strong in your family. Pass on what you have learned, Luke...  There is... another...Sky...Sky...walker."
